Company Name,Website URL,Contact Number,Location/Address,Industry/Category,Company Description,Email Address
Top Packers and Movers, http://yellowpages.in/b/top-packers-and-movers-hafeezpet-hyderabad/617388351   ,+91 9849998823,Hafeezpet Hyderabad - 500049,NULL,NULL,toppackersandmoversindia@gmail.com
Supreme India Packers and Movers, http://yellowpages.in/b/supreme-india-packers-and-movers-hafeezpet-hyderabad/992152305   ,+91 9618577711,Hafeezpet Hyderabad - 500049,NULL,NULL,supremeindia.rk@gmail.com
Ashoka Packers, http://yellowpages.in/b/ashoka-packers-ranigunj-hyderabad/572155785   ,+91 9000809809,Ranigunj Hyderabad - 500003,NULL,NULL,info@ashokapackers.com
Raju Packers and Movers, http://yellowpages.in/b/raju-packers-and-movers-sanath-nagar-hyderabad/396780134   ,+91 9000788407,Sanath Nagar Hyderabad - 500018,NULL,NULL,NULL
Sunanda Veg Caterers, http://yellowpages.in/b/sunanda-veg-caterers-safilguda-hyderabad/101525829   ,+91 9849019955,Safilguda Hyderabad - 500047,NULL,NULL,NULL
Chawla Essence Mart, http://yellowpages.in/b/chawla-essence-mart-secunderabad-hyderabad/573081513   ,+91 40 27812061,Secunderabad Hyderabad - 500003,"Cake Shop, Bakery Shop",NULL,NULL
S.S. Flour Mill, http://yellowpages.in/b/ss-flour-mill-toli-chowki-hyderabad/830766677   ,+91 9703673286,Toli Chowki Hyderabad - 500008,Food Flour Mill Services,NULL,NULL
Kikaboni Organic Store, http://yellowpages.in/b/kikaboni-organic-store-manikonda-hyderabad/667478928   ,+91 9949825000,Manikonda Hyderabad - 500089,"Organic Store, Groceries Items",NULL,NULL
Sampoorna Super Market, http://yellowpages.in/b/sampoorna-super-market-shaikpet-hyderabad/874433979   ,+91 9705975777,Shaikpet Hyderabad - 500008,NULL,NULL,NULL
Balaji Grand Bazar, http://yellowpages.in/b/balaji-grand-bazar-kondapur-hyderabad/593456806   ,+91 9581365395,Kondapur Hyderabad - 500081,"Super Market, Groceries Market",NULL,sunilgb@yahoo.in
More Super Market, http://yellowpages.in/b/more-super-market-barkatpura-hyderabad/258449111   ,+91 9912226108,Barkatpura Hyderabad - 500027,Grocery Products,NULL,NULL
M Hospitality, http://yellowpages.in/b/m-hospitality-ameerpet-hyderabad/992820987   ,+91 9346252525,Ameerpet Hyderabad - 500016,NULL,NULL,mhospitality@gmail.com
Naheed Fruits & Juice Centre, http://yellowpages.in/b/naheed-fruitsjuice-centre-mehdipatnam-hyderabad/826199561   ,+91 9959062786,Mehdipatnam Hyderabad - 500028,"Fruit Dealer,All Kind Of Fruit Sales And Home & Delivery",NULL,NULL
Balaji Grand Bazar, http://yellowpages.in/b/balaji-grand-bazar-banjara-hills-hyderabad/496025036   ,+91 040 23390136,Banjara Hills Hyderabad - 500034,"Super Market, Grocery",NULL,NULL
Makarand Sweets, http://yellowpages.in/b/makarand-sweets-kondapur-hyderabad/740686558   ,+91 9885300009,Kondapur Hyderabad - 500081,Sweets and Snacks,NULL,info@makarandsweets.com
Sansar Kirana & General Store, http://yellowpages.in/b/sansar-kirana-general-store-toli-chowki-hyderabad/363360792   ,+91 9703271822,Toli Chowki Hyderabad - 500008,"Kirana & Genaral Store, Home Needs",NULL,NULL
Spoorthi Super Market, http://yellowpages.in/b/spoorthi-super-market-kukatpally-hyderabad/677042337   ,+91 9704096600,Kukatpally Hyderabad - 500072,"Super Market, Daily Needs",NULL,spoorthisupermarket@gmail.com
Udayashree Megharaj Sweets, http://yellowpages.in/b/udayashree-megharaj-sweet-shop-narayanguda-hyderabad/315572672   ,+91 9849533129,Narayanguda Hyderabad - 500029,"Home Sweets, Namkeens",NULL,megharajpathrikars@gmail.com
Vijay Milk House, http://yellowpages.in/b/vijay-milk-house-attapur-hyderabad/302029518   ,+91 9490232741,Attapur Hyderabad - 500048,"Milk,Curd,Ghee,Butter,Functon Order,Marriage Parties",NULL,NULL
Value Mart Super Market, http://yellowpages.in/b/value-mart-super-market-kondapur-hyderabad/338417179   ,+91 040 65656033,Kondapur Hyderabad - 500081,NULL,NULL,info@valuemart.co.in
Anusha Super Market, http://yellowpages.in/b/anusha-super-market-gudi-malkapur-hyderabad/402067031   ,+91 9866256181,Gudi Malkapur Hyderabad - 500028,NULL,NULL,NULL
Almonds For You (Almond House), http://yellowpages.in/b/almonds-for-youalmond-house-himayat-nagar-hyderabad/662356554   ,+91 9000134442,Himayat Nagar Hyderabad - 500029,"Sweets, Ice-Creams",NULL,almondhouse@yahoo.in
Amrutha Swagruha Foods, http://yellowpages.in/b/amrutha-swagruha-foods-kukatpally-hyderabad/327482404   ,+91 40 23061476,Kukatpally Hyderabad - 500072,Sweets & Snacks,NULL,NULL
Almonds For You (Almond House), http://yellowpages.in/b/almonds-for-youalmond-house-banjara-hills-hyderabad/730757669   ,+91 9885104999,Banjara Hills Hyderabad - 500034,"Ice-Creams, Dry Fruits, Sweets Cakes, Namkeens",NULL,info@almondhouse.com
Kirana Ghar, http://yellowpages.in/b/kirana-ghar-punjagutta-hyderabad/493290284   ,+91 9030788504,Punjagutta Hyderabad - 500082,"Kirana Store, General Store",NULL,NULL
More Super Market, http://yellowpages.in/b/more-super-market-shaikpet-hyderabad/235944075   ,+91 9912226240,Shaikpet Hyderabad - 500008,More Super Market,NULL,NULL
Mexican Fried Chicken, http://yellowpages.in/b/mexican-fried-chicken-kukatpally-hyderabad/789577083   ,+91 9885372723,Kukatpally Hyderabad - 500072,NULL,NULL,mexicanfriedchickenkphb@gmail.com
Venkat Sai Dry Fruits & Spices, http://yellowpages.in/b/venkat-sai-dry-fruits-spices-kukatpally-hyderabad/163946638   ,+91 9441070572,Kukatpally Hyderabad - 500072,"Dry Fruits & Spices Dealers, Herbal & Ayurvedic Produscts,Sales",NULL,tirumalashettysrinivas834@gmail.com
Srinidhi Dry Fruits & Spices, http://yellowpages.in/b/srinidhi-dry-fruits-spices-kukatpally-hyderabad/345756835 ,+91 9030906039,Kukatpally Hyderabad - 500072,"Dry Fruits, Spices Dealers, Herbal & Ayurvedic",NULL,vegesanasi@gmail.com
